a|\ˈā\
abhorrence|\əb-ˈhȯr-ən(t)s, -ˈhär-\
abhorrences|\əb-ˈhȯr-ən(t)s, -ˈhär-\
abhorrent|\-ənt\
abhorrently|\-ənt\
abhorrer|\əb-ˈhȯr, ab-\
abhorrers|\əb-ˈhȯr, ab-\
abhorring|\əb-ˈhȯr, ab-\
abhors|\əb-ˈhȯr, ab-\
abidance|\ə-ˈbī-dən(t)s\
abide|\ə-ˈbīd\
abided|\ə-ˈbīd\
abider|\ə-ˈbīd\
abiders|\ə-ˈbīd\
abides|\ə-ˈbīd\
abiding|\ə-ˈbī-diŋ\
abidingly|\ə-ˈbī-diŋ\
abidingness|\ˈlȯ-ə-ˌbī-diŋ\
abigail|\ˈa-bə-ˌgāl\
abilene|\ˈa-bə-ˌlēn\
abilities|\ə-ˈbi-lə-tē\
ability|\ə-ˈbi-lə-tē\
abiotic|\ˌā-(ˌ)bī-ˈä-tik\
abject|\ˈab-ˌjekt\
abjection|\ab-ˈjek-shən\
abjectly|\ˈab-ˌjekt\
abjectness|\ˈab-ˌjekt\
abjuration|\ˌab-jə-ˈrā-shən\
abjurations|\ˌab-jə-ˈrā-shən\
abjure|\ab-ˈju̇r\
abjured|\ab-ˈju̇r\
abjurer|\ab-ˈju̇r\
abjurers|\ab-ˈju̇r\
abjures|\ab-ˈju̇r\
abjuring|\ab-ˈju̇r\
ablate|\a-ˈblāt\
ablated|\a-ˈblāt\
ablates|\a-ˈblāt\
ablating|\a-ˈblāt\
ablation|\a-ˈblā-shən\
ablations|\a-ˈblā-shən\
ablative|\ˈa-blə-tiv\
ablatively|\ˈa-blə-tiv\
ablatives|\ˈa-blə-tiv\
ablaze|\ə-ˈblāz\
able|\ˈā-bəl\
abler|\ˈā-bəl\
ablest|\ˈā-bəl\
abloom|\ə-ˈblüm\
abluted|\ə-ˈblü-təd, a-\
ablution|\ə-ˈblü-shən, a-\
ablutionary|\ə-ˈblü-shən, a-\
ablutions|\ə-ˈblü-shən, a-\
ably|\ˈā-bəl\
abnegate|\ˈab-ni-ˌgāt\
abnegated|\ˈab-ni-ˌgāt\
abnegates|\ˈab-ni-ˌgāt\
abnegating|\ˈab-ni-ˌgāt\
abnegation|\ˌab-ni-ˈgā-shən\
abnegations|\ˌab-ni-ˈgā-shən\
abnegator|\ˈab-ni-ˌgāt\
abnegators|\ˈab-ni-ˌgāt\
abnormal|\(ˌ)ab-ˈnȯr-məl, əb-\
abnormalities|\ˌab-nər-ˈma-lə-tē, -(ˌ)nȯr-\
abnormality|\ˌab-nər-ˈma-lə-tē, -(ˌ)nȯr-\
abnormally|\(ˌ)ab-ˈnȯr-məl, əb-\
abnormals|\(ˌ)ab-ˈnȯr-məl, əb-\
abo|\ˈa-(ˌ)bō\
aboard|\ə-ˈbȯrd\
abode|\ə-ˈbōd\
abodes|\ə-ˈbōd\
aboil|\ə-ˈbȯi(-ə)l\
abolish|\ə-ˈbä-lish\
abolishable|\ə-ˈbä-lish\
abolished|\ə-ˈbä-lish\
abolisher|\ə-ˈbä-lish\
abolishers|\ə-ˈbä-lish\
abolishes|\ə-ˈbä-lish\
abolishing|\ə-ˈbä-lish\
abolishment|\ə-ˈbä-lish\
abolition|\ˌa-bə-ˈli-shən\
abolitionary|\ˌa-bə-ˈli-shən\
abolitionism|\-ˈli-shən-ˌi-zəm\
abolitionist|\-ˈli-shən-ˌi-zəm\
abolitionists|\-ˈli-shən-ˌi-zəm\
abominable|\ə-ˈbäm-nə-bəl, -ˈbä-mə-\
abominably|\ə-ˈbäm-nə-bəl, -ˈbä-mə-\
abominate|\ə-ˈbä-mə-ˌnāt\
abominated|\ə-ˈbä-mə-ˌnāt\
abominates|\ə-ˈbä-mə-ˌnāt\
abominating|\ə-ˈbä-mə-ˌnāt\
abomination|\ə-ˌbä-mə-ˈnā-shən\
abominations|\ə-ˌbä-mə-ˈnā-shən\
abominator|\ə-ˈbä-mə-ˌnāt\
abominators|\ə-ˈbä-mə-ˌnāt\
aboral|\(ˌ)a-ˈbȯr-əl\
aboriginal|\ˌa-bə-ˈrij-nəl, -ˈri-jə-nəl\
aboriginally|\ˌa-bə-ˈrij-nəl, -ˈri-jə-nəl\
aborigine|\ˌa-bə-ˈrij-(ˌ)nē, -ˈri-jə-\
aborigines|\ˌa-bə-ˈrij-(ˌ)nē, -ˈri-jə-\
aborning|\ə-ˈbȯr-niŋ\
abort|\ə-ˈbȯrt\
aborted|\ə-ˈbȯrt\
aborter|\ə-ˈbȯrt\
aborters|\ə-ˈbȯrt\
abortifacient|\ə-ˌbȯr-tə-ˈfā-shənt\
aborting|\ə-ˈbȯrt\
abortion|\ə-ˈbȯr-shən\
abortionist|\-sh(ə-)nist\
abortionists|\-sh(ə-)nist\
abortions|\ə-ˈbȯr-shən\
abortive|\ə-ˈbȯr-tiv\
abortively|\ə-ˈbȯr-tiv\
abortiveness|\ə-ˈbȯr-tiv\
aborts|\ə-ˈbȯrt\
abound|\ə-ˈbau̇nd\
abounded|\ə-ˈbau̇nd\
abounding|\ə-ˈbau̇nd\
abounds|\ə-ˈbau̇nd\
about|\ə-ˈbau̇t\
above|\ə-ˈbəv\
aboveboard|\ə-ˈbəv-ˌbȯrd\
aboveground|\ə-ˈbəv-ˌgrau̇nd\
aboves|\ə-ˈbəv\
abracadabra|\ˌa-brə-kə-ˈda-brə\
abrade|\ə-ˈbrād\
abraded|\ə-ˈbrād\
abrader|\ə-ˈbrād\
abraders|\ə-ˈbrād\
abrades|\ə-ˈbrād\
abrading|\ə-ˈbrād\
abraham|\ˈā-brə-ˌham\
abrasion|\ə-ˈbrā-zhən\
abrasions|\ə-ˈbrā-zhən\
abrasive|\ə-ˈbrā-siv, -ziv\
abrasively|\ə-ˈbrā-siv, -ziv\
abrasiveness|\ə-ˈbrā-siv, -ziv\
abrasives|\ə-ˈbrā-siv, -ziv\
abreact|\ˌa-brē-ˈak-shən\
abreacted|\ˌa-brē-ˈak-shən\
abreacting|\ˌa-brē-ˈak-shən\
abreaction|\ˌa-brē-ˈak-shən\
abreacts|\ˌa-brē-ˈak-shən\
abreast|\ə-ˈbrest\
abridge|\ə-ˈbrij\
abridged|\ə-ˈbrij\
abridgement|\ə-ˈbrij-mənt\
abridgements|\ə-ˈbrij-mənt\
abridger|\ə-ˈbrij\
abridgers|\ə-ˈbrij\
abridges|\ə-ˈbrij\
abridging|\ə-ˈbrij\
abridgment|\ə-ˈbrij-mənt\
abridgments|\ə-ˈbrij-mənt\
abroad|\ə-ˈbrȯd\
abrogate|\ˈa-brə-ˌgāt\
abrogated|\ˈa-brə-ˌgāt\
abrogates|\ˈa-brə-ˌgāt\
abrogating|\ˈa-brə-ˌgāt\
abrogation|\ˈa-brə-ˌgāt\
abrogations|\ˈa-brə-ˌgāt\
abrupt|\ə-ˈbrəpt\
abrupter|\ə-ˈbrəpt\
abruptest|\ə-ˈbrəpt\
abruptly|\ə-ˈbrəpt\
abruptness|\ə-ˈbrəpt\
abs|\ˌā-(ˌ)bē-ˈes\
abscess|\ˈab-ˌses\
abscessed|\ˈab-ˌses\
abscesses|\ˈab-ˌses\
abscise|\ab-ˈsīz\
abscised|\ab-ˈsīz\
abscises|\ab-ˈsīz\
abscising|\ab-ˈsīz\
abscissa|\ab-ˈsi-sə\
abscissae|\ab-ˈsi-sə\
abscissas|\ab-ˈsi-sə\
abscission|\ab-ˈsi-zhən\
abscissions|\ab-ˈsi-zhən\
abscond|\ab-ˈskänd, əb-\
absconded|\ab-ˈskänd, əb-\
absconder|\ab-ˈskänd, əb-\
absconders|\ab-ˈskänd, əb-\
absconding|\ab-ˈskänd, əb-\
absconds|\ab-ˈskänd, əb-\
absence|\ˈab-sən(t)s\
absences|\ˈab-sən(t)s\
absent|\ˈab-sənt\
absented|\ˈab-sənt\
absentee|\ˌab-sən-ˈtē\
absenteeism|\ˌab-sən-ˈtē-ˌi-zəm\
absentees|\ˌab-sən-ˈtē\
absenter|\ˈab-sənt\
absenting|\ˈab-sənt\
absently|\ˈab-sənt\
absentminded|\ˌab-sənt-ˈmīn-dəd\
absentmindedly|\ˌab-sənt-ˈmīn-dəd\
absentmindedness|\ˌab-sənt-ˈmīn-dəd\
absents|\ˈab-sənt\
absinth|\ˈab-(ˌ)sin(t)th\
absinthe|\ˈab-(ˌ)sin(t)th\
absinthes|\ˈab-(ˌ)sin(t)th\
absinths|\ˈab-(ˌ)sin(t)th\
absolute|\ˈab-sə-ˌlüt, ˌab-sə-ˈ\
absolutely|\ˈab-sə-ˌlüt-lē, ˌab-sə-ˈ\
absoluteness|\ˈab-sə-ˌlüt, ˌab-sə-ˈ\
absoluter|\ˈab-sə-ˌlüt, ˌab-sə-ˈ\
absolutes|\ˈab-sə-ˌlüt, ˌab-sə-ˈ\
absolutest|\ˈab-sə-ˌlüt, ˌab-sə-ˈ\
absolution|\ˌab-sə-ˈlü-shən\
absolutions|\ˌab-sə-ˈlü-shən\
absolutism|\ˈab-sə-ˌlü-ˌti-zəm\
absolutist|\ˈab-sə-ˌlü-ˌti-zəm\
absolutistic|\ˈab-sə-ˌlü-ˌti-zəm\
absolutists|\ˈab-sə-ˌlü-ˌti-zəm\
absolve|\əb-ˈzälv, -ˈsälv, -ˈzȯlv, -ˈsȯlv also without l\
absolved|\əb-ˈzälv, -ˈsälv, -ˈzȯlv, -ˈsȯlv also without l\
absolver|\əb-ˈzälv, -ˈsälv, -ˈzȯlv, -ˈsȯlv also without l\
absolvers|\əb-ˈzälv, -ˈsälv, -ˈzȯlv, -ˈsȯlv also without l\
absolves|\əb-ˈzälv, -ˈsälv, -ˈzȯlv, -ˈsȯlv also without l\
absolving|\əb-ˈzälv, -ˈsälv, -ˈzȯlv, -ˈsȯlv also without l\
absorb|\əb-ˈsȯrb, -ˈzȯrb\
absorbability|\əb-ˈsȯrb, -ˈzȯrb\
absorbable|\əb-ˈsȯrb, -ˈzȯrb\
absorbed|\əb-ˈsȯrb, -ˈzȯrb\
absorbencies|\əb-ˈsȯr-bən(t)-sē, -ˈzȯr-\
absorbency|\əb-ˈsȯr-bən(t)-sē, -ˈzȯr-\
absorbent|\-bənt\
absorbents|\-bənt\
absorber|\əb-ˈsȯrb, -ˈzȯrb\
absorbers|\əb-ˈsȯrb, -ˈzȯrb\
absorbing|\-biŋ-lē\
absorbingly|\-biŋ-lē\
absorbs|\əb-ˈsȯrb, -ˈzȯrb\
absorption|\əb-ˈsȯrp-shən, -ˈzȯrp-\
absorptions|\əb-ˈsȯrp-shən, -ˈzȯrp-\
absorptive|\əb-ˈsȯrp-shən, -ˈzȯrp-\
abstain|\əb-ˈstān, ab-\
abstained|\əb-ˈstān, ab-\
abstainer|\əb-ˈstān, ab-\
abstainers|\əb-ˈstān, ab-\
abstaining|\əb-ˈstān, ab-\
abstains|\əb-ˈstān, ab-\
abstemious|\ab-ˈstē-mē-əs\
abstemiously|\ab-ˈstē-mē-əs\
abstemiousness|\ab-ˈstē-mē-əs\
abstention|\əb-ˈsten(t)-shən, ab-\
abstentions|\əb-ˈsten(t)-shən, ab-\
abstentious|\əb-ˈsten(t)-shən, ab-\
abstinence|\ˈab-stə-nən(t)s\
abstinent|\ˈab-stə-nən(t)s\
abstinently|\ˈab-stə-nən(t)s\
abstract|\ab-ˈstrakt, ˈab-ˌ\
abstracted|\ab-ˈstrak-təd, ˈab-ˌ\
abstractedly|\ab-ˈstrak-təd, ˈab-ˌ\
abstractedness|\ab-ˈstrak-təd, ˈab-ˌ\
abstracter|\ab-ˈstrakt, ˈab-ˌ\
abstracters|\ab-ˈstrakt, ˈab-ˌ\
abstracting|\ab-ˈstrakt, ˈab-ˌ\
abstraction|\ab-ˈstrak-shən, əb-\
abstractionism|\ab-ˈstrak-shə-ˌni-zəm, əb-\
abstractionist|\ab-ˈstrak-shə-ˌni-zəm, əb-\
abstractionists|\ab-ˈstrak-shə-ˌni-zəm, əb-\
abstractions|\ab-ˈstrak-shən, əb-\
abstractly|\ab-ˈstrakt, ˈab-ˌ\
abstractness|\ab-ˈstrakt, ˈab-ˌ\
abstractor|\ab-ˈstrakt, ˈab-ˌ\
abstractors|\ab-ˈstrakt, ˈab-ˌ\
abstracts|\ab-ˈstrakt, ˈab-ˌ\
abstruse|\əb-ˈstrüs, ab-\
abstrusely|\əb-ˈstrüs, ab-\
abstruseness|\əb-ˈstrüs, ab-\
abstruser|\əb-ˈstrüs, ab-\
abstrusest|\əb-ˈstrüs, ab-\
absurd|\əb-ˈsərd, -ˈzərd\
absurder|\əb-ˈsərd, -ˈzərd\
absurdest|\əb-ˈsərd, -ˈzərd\
absurdities|\əb-ˈsər-də-tē, -ˈzər-\
absurdity|\əb-ˈsər-də-tē, -ˈzər-\
absurdly|\əb-ˈsərd, -ˈzərd\
absurdness|\əb-ˈsərd, -ˈzərd\
absurds|\əb-ˈsərd, -ˈzərd\
abubble|\ə-ˈbə-bəl\
abundance|\ə-ˈbən-dən(t)s\
abundances|\ə-ˈbən-dən(t)s\
abundant|\-dənt\
abundantly|\-dənt\
abusable|\ə-ˈbyüs\
abuse|\ə-ˈbyüs\
abused|\ə-ˈbyüs\
abuser|\ə-ˈbyüs\
abusers|\ə-ˈbyüs\
abuses|\ə-ˈbyüs\
abusing|\ə-ˈbyüs\
abusive|\ə-ˈbyü-siv also -ziv\
abusively|\ə-ˈbyü-siv also -ziv\
abusiveness|\ə-ˈbyü-siv also -ziv\
abut|\ə-ˈbət\
abutment|\ə-ˈbət-mənt\
abutments|\ə-ˈbət-mənt\
abuts|\ə-ˈbət\
abuttals|\ə-ˈbə-təlz\
abutted|\ə-ˈbət\
abutter|\ə-ˈbə-tər\
abutters|\ə-ˈbə-tər\
abuzz|\ə-ˈbəz\
abyes|\ə-ˈbī\
abysm|\ə-ˈbi-zəm\
abysmal|\ə-ˈbiz-məl, a-\
abysmally|\ə-ˈbiz-məl, a-\
abysms|\ə-ˈbi-zəm\
abyss|\ə-ˈbis, a- also ˈa-(ˌ)bis\
abyssal|\ə-ˈbi-səl\
abysses|\ə-ˈbis, a- also ˈa-(ˌ)bis\
abyssinia|\ˌa-bə-ˈsi-nē-ə, -nyə\
abyssinian|\ˌa-bə-ˈsi-nē-ən, -ˈsi-nyən\
abyssinians|\ˌa-bə-ˈsi-nē-ən, -ˈsi-nyən\
acacia|\ə-ˈkā-shə\
acacias|\ə-ˈkā-shə\
academe|\ˈa-kə-ˌdēm, ˌa-kə-ˈ\
academes|\ˈa-kə-ˌdēm, ˌa-kə-ˈ\
academia|\ˌa-kə-ˈdē-mē-ə\
academias|\ˌa-kə-ˈdē-mē-ə\
academic|\ˌa-kə-ˈde-mik\
academical|\ˌa-kə-ˈde-mik\
academically|\ˌa-kə-ˈde-mik\
academician|\ˌa-kə-də-ˈmi-shən, ə-ˌka-də-\
academicians|\ˌa-kə-də-ˈmi-shən, ə-ˌka-də-\
academicism|\ˌa-kə-ˈde-mə-ˌsi-zəm\
academics|\ˌa-kə-ˈde-mik\
academies|\ə-ˈka-də-mē\
academy|\ə-ˈka-də-mē\
acadia|\ə-ˈkā-dē-ə\
acanthi|\ə-ˈkan(t)-thəs\
acanthus|\ə-ˈkan(t)-thəs\
acanthuses|\ə-ˈkan(t)-thəs\
acapulco|\ˌä-kä-ˈpül-(ˌ)kō, ˌa-\
accede|\ak-ˈsēd, ik-\
acceded|\ak-ˈsēd, ik-\
accedes|\ak-ˈsēd, ik-\
acceding|\ak-ˈsēd, ik-\
accelerando|\(ˌ)ä-ˌche-lə-ˈrän-(ˌ)dō; ik-ˌse-, (ˌ)ak-\
accelerant|\ik-ˈse-lə-rənt, ak-\
accelerate|\-lə-ˌrāt\
accelerated|\-lə-ˌrāt\
accelerates|\-lə-ˌrāt\
accelerating|\-lə-ˌrāt\
acceleration|\ik-ˌse-lə-ˈrā-shən, (ˌ)ak-\
accelerations|\ik-ˌse-lə-ˈrā-shən, (ˌ)ak-\
accelerative|\ik-ˈse-lə-ˌrā-tiv, ak-\
accelerator|\ik-ˈse-lə-ˌrā-tər, ak-\
accelerators|\ik-ˈse-lə-ˌrā-tər, ak-\
accelerometer|\ik-ˌse-lə-ˈrä-mə-tər, ak-\
accelerometers|\ik-ˌse-lə-ˈrä-mə-tər, ak-\
accent|\ˈak-ˌsent, ak-ˈ\
accented|\ˈak-ˌsent, ak-ˈ\
accenting|\ˈak-ˌsent, ak-ˈ\
accents|\ˈak-ˌsent, ak-ˈ\
accentual|\ak-ˈsen(t)-sh(ə-)wəl, ik-\
accentuate|\ik-ˈsen(t)-shə-ˌwāt, ak-\
accentuated|\ik-ˈsen(t)-shə-ˌwāt, ak-\
accentuates|\ik-ˈsen(t)-shə-ˌwāt, ak-\
accentuating|\ik-ˈsen(t)-shə-ˌwāt, ak-\
accentuation|\ik-ˈsen(t)-shə-ˌwāt, ak-\
accept|\ik-ˈsept, ak- also ek-\
acceptability|\ik-ˈsep-tə-bəl, ak- also ek-\
acceptable|\ik-ˈsep-tə-bəl, ak- also ek-\
acceptableness|\ik-ˈsep-tə-bəl, ak- also ek-\
acceptably|\ik-ˈsep-tə-bəl, ak- also ek-\
acceptance|\ik-ˈsep-tən(t)s, ak-\
acceptances|\ik-ˈsep-tən(t)s, ak-\
acceptant|\-tənt\
acceptation|\ˌak-ˌsep-ˈtā-shən\
accepter|\ik-ˈsep-tər, ak-\
accepters|\ik-ˈsep-tər, ak-\
accepting|\ik-ˈsept, ak- also ek-\
acceptive|\ak-ˈsep-tiv\
acceptor|\ik-ˈsep-tər, ak-\
accepts|\ik-ˈsept, ak- also ek-\
access|\ˈak-ˌses also ik-ˈses\
accessed|\ˈak-ˌses also ik-ˈses\
accesses|\ˈak-ˌses also ik-ˈses\
accessibility|\ik-ˈse-sə-bəl, ak-, ek-\
accessible|\ik-ˈse-sə-bəl, ak-, ek-\
accessibleness|\ik-ˈse-sə-bəl, ak-, ek-\
accessibly|\ik-ˈse-sə-bəl, ak-, ek-\
accessing|\ˈak-ˌses also ik-ˈses\
accession|\ik-ˈse-shən, ak-\
accessions|\ik-ˈse-shən, ak-\
accessories|\ik-ˈse-sə-rē, ak-, ek-, -ˈses-rē, also ə-ˈse-\
accessory|\ik-ˈse-sə-rē, ak-, ek-, -ˈses-rē, also ə-ˈse-\
accidence|\ˈak-sə-dən(t)s, -ˌden(t)s\
accident|\ˈak-sə-dənt, -ˌdent; ˈaks-dənt\
accidental|\ˌak-sə-ˈden-təl\
accidentally|\ˌak-sə-ˈden-təl\
accidentalness|\ˌak-sə-ˈden-təl\
accidentals|\ˌak-sə-ˈden-təl\
accidents|\ˈak-sə-dənt, -ˌdent; ˈaks-dənt\
accidie|\ˈak-sə-dē\
accidies|\ˈak-sə-dē\
acclaim|\ə-ˈklām\
acclaimed|\ə-ˈklām\
acclaimer|\ə-ˈklām\
acclaimers|\ə-ˈklām\
acclaiming|\ə-ˈklām\
acclaims|\ə-ˈklām\
acclamation|\ˌa-klə-ˈmā-shən\
acclamations|\ˌa-klə-ˈmā-shən\
acclimate|\ˈa-klə-ˌmāt; ə-ˈklī-mət, -ˌmāt\
acclimated|\ˈa-klə-ˌmāt; ə-ˈklī-mət, -ˌmāt\
acclimates|\ˈa-klə-ˌmāt; ə-ˈklī-mət, -ˌmāt\
acclimating|\ˈa-klə-ˌmāt; ə-ˈklī-mət, -ˌmāt\
acclimation|\ˌa-klə-ˈmā-shən, -ˌklī-\
acclimatization|\ə-ˈklī-mə-ˌtīz\
acclimatize|\ə-ˈklī-mə-ˌtīz\
acclimatized|\ə-ˈklī-mə-ˌtīz\
acclimatizer|\ə-ˈklī-mə-ˌtīz\
acclimatizes|\ə-ˈklī-mə-ˌtīz\
acclimatizing|\ə-ˈklī-mə-ˌtīz\
acclivities|\ə-ˈkli-və-tē, a-\
acclivity|\ə-ˈkli-və-tē, a-\
accolade|\ˈa-kə-ˌlād, -ˌläd\
accolades|\ˈa-kə-ˌlād, -ˌläd\
accommodate|\ə-ˈkä-mə-ˌdāt\
accommodated|\ə-ˈkä-mə-ˌdāt\
accommodates|\ə-ˈkä-mə-ˌdāt\
accommodating|\-ˌdā-tiŋ-lē\
accommodatingly|\-ˌdā-tiŋ-lē\
accommodation|\ə-ˌkä-mə-ˈdā-shən\
accommodational|\ə-ˌkä-mə-ˈdā-shən\
accommodations|\ə-ˌkä-mə-ˈdā-shən\
accommodative|\ə-ˈkä-mə-ˌdāt\
accommodativeness|\ə-ˈkä-mə-ˌdāt\
accommodator|\ə-ˈkä-mə-ˌdāt\
accommodators|\ə-ˈkä-mə-ˌdāt\
accompanied|\ə-ˈkəmp-nē, -ˈkämp-; -ˈkəm-pə-, -ˈkäm-\
accompanies|\ə-ˈkəmp-nē, -ˈkämp-; -ˈkəm-pə-, -ˈkäm-\
accompaniment|\ə-ˈkəm-pə-nē-mənt, -ˈkəmp-nē-\
accompaniments|\ə-ˈkəm-pə-nē-mənt, -ˈkəmp-nē-\
accompanist|\ə-ˈkəmp-nist, -ˈkəm-pə-\
accompanists|\ə-ˈkəmp-nist, -ˈkəm-pə-\
accompany|\ə-ˈkəmp-nē, -ˈkämp-; -ˈkəm-pə-, -ˈkäm-\
accompanying|\ə-ˈkəmp-nē, -ˈkämp-; -ˈkəm-pə-, -ˈkäm-\
accompli|\ˈfā-tə-ˌkäm-ˈplē, ˈfe-, ˈfe-ˌta-, -ˌkōⁿ(m)-, British usually -ˈkäm-(ˌ)plē\
accomplice|\ə-ˈkäm-pləs, -ˈkəm-\
accomplices|\ə-ˈkäm-pləs, -ˈkəm-\
accomplis|\ˈfā-tə-ˌkäm-ˈplē, ˈfe-, ˈfe-ˌta-, -ˌkōⁿ(m)-, British usually -ˈkäm-(ˌ)plē\
accomplish|\ə-ˈkäm-plish, -ˈkəm-\
accomplishable|\ə-ˈkäm-plish, -ˈkəm-\
accomplisher|\ə-ˈkäm-plish, -ˈkəm-\
accomplishers|\ə-ˈkäm-plish, -ˈkəm-\
accomplishes|\ə-ˈkäm-plish, -ˈkəm-\
accomplishing|\ə-ˈkäm-plish, -ˈkəm-\
accomplishment|\ə-ˈkäm-plish-mənt, -ˈkəm-\
accomplishments|\ə-ˈkäm-plish-mənt, -ˈkəm-\
